id,category_id,question_code,question_number,question_text,check_box,block_number,block_text,option_select,option_code,option_text,response_message,companion_advice,tone_tag,next_question_id,version,created_at
1,1,1_1,1,Who’s one person you could thank today—even if it’s been hard to notice the good?,False,1,A thank-you is the best first move: Someone to Thank 🎵[playlist:1st Thing 1st],A,1_1_A,A. A parent (maybe even one who nags),"A. “Thank you for caring. I know you love me. If you could just listen without giving advice, I would be even more thankful. But I thank you anyway.”",That’s a brave thing to say. You’re honoring their love and asking for what you need. That’s real communication.,,,1,2025-10-07 16:30:37.484901
2,1,1_1,1,Who’s one person you could thank today—even if it’s been hard to notice the good?,False,1,Someone to Thank,B,1_1_B,B. A friend you may take for granted,B. “Thank you for being my friend. I like you for the way you...” (finish the sentence in your own words),Noticing the why behind a friendship makes it stronger. That one sentence might stay with them for a long time.,,,1,2025-10-07 16:30:37.517599
3,1,1_1,1,Who’s one person you could thank today—even if it’s been hard to notice the good?,False,1,Someone to Thank,C,1_1_C,C. A strict teacher who pushed you hard to achieve something,C. “Thank you for teaching me    . I enjoy learning from you.”,Teachers don’t hear this enough. It might mean more than you realize.,,,1,2025-10-07 16:30:37.549454
4,1,1_1,1,Who’s one person you could thank today—even if it’s been hard to notice the good?,False,1,Someone to Thank,D,1_1_D,"D. Thank you, me. For finding a purpose today—or just surviving it.","D. ""I see what it took. I really do.”",This kind of thank-you is rare. You didn’t wait for someone else to notice—you noticed yourself. That’s strength.,,,1,2025-10-07 16:30:37.582217
5,1,1_1,1,Who’s one person you could thank today—even if it’s been hard to notice the good?,False,1,Someone to Thank,OTHER,1_1_OTHER,Othe: Someone else (write your own),"Other: You found your own words—and that’s the most powerful kind of thank-you. Whether you send it or not, it’s already doing something inside you.",,,,1,2025-10-07 16:30:37.615712
6,1,1_2,2,What happened when you said it?,False,1,Someone to Thank,A,1_2_A,"A. They smiled or softened, even just a little","A. That moment—the softening, the smile—can stay with both of you. Even if it was small, it mattered.",,,,1,2025-10-07 16:30:37.647085
7,1,1_2,2,What happened when you said it?,False,1,Someone to Thank,B,1_2_B,B. They were surprised and didn’t know what to say,B. Sometimes gratitude catches people off guard. But don’t underestimate how deeply it might still land later.,,,,1,2025-10-07 16:30:37.679211
8,1,1_2,2,What happened when you said it?,False,1,Someone to Thank,C,1_2_C,C. They brushed it off or didn’t really respond,C. Not everyone knows how to receive kindness. That’s not a reflection on you.,,,,1,2025-10-07 16:30:37.711103
9,1,1_2,2,What happened when you said it?,False,1,Someone to Thank,D,1_2_D,D. I haven’t said it yet—but I will,D. Saying it takes courage. Planning to say it is already a step.,,,,1,2025-10-07 16:30:37.742056
10,1,1_2,2,What happened when you said it?,False,1,Someone to Thank,E,1_2_E,E. I don’t think I ever will—but I’m still glad I wrote it,E. You wrote it for closure. That’s enough. Sometimes gratitude is more about freeing yourself than changing them.,,,,1,2025-10-07 16:30:37.774286
