id,category_id,question_code,question_number,question_text,check_box,max_select,block_number,block_text,is_start_question,parent_question_id,color_code,version,created_at
1,1,1_1,1,Who’s one person you could thank today—even if it’s been hard to notice the good?,False,1,1,A thank-you is the best first move: Someone to Thank 🎵[playlist:1st Thing 1st],False,,#D6C7E7,1,2025-10-07 16:30:29.633506
2,1,1_2,2,What happened when you said it?,False,1,1,Someone to Thank,False,,#98FB98,1,2025-10-07 16:30:29.664363
3,1,1_3,3,Curiosity is the fuel for ideas. Pick one spark and let your imagination run with it.  What is the one question you could ask in class today?,False,1,2,Ask 1 Question in Class: That Can Change the Way You See School 🎵[playlist:1st Thing 1st],False,,#FFAD84,1,2025-10-07 16:30:29.694460
4,1,1_4,4,"When you let your mind wander, which future sparks your curiosity?  If you could solve any problem in the world, which one would you choose?",False,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,False,,#ADD8E6,1,2025-10-07 16:30:29.724876
5,1,1_5,5,"If you could create your dream job or start a business, what would it do?",False,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,False,,#D6C7E7,1,2025-10-07 16:30:29.753774
6,1,1_6,6,"If you already have a dream, what’s one step you could take this week toward it?",False,1,3,Ask 1 Question in Your Daydream: That Can Change the Way You See Your Life,False,,#F08080,1,2025-10-07 16:30:29.784988
7,1,1_7,7,What was your favorite subject in school when you were my age?,False,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,False,,#ADD8E6,1,2025-10-07 16:30:29.815178
8,1,1_8,8,What’s one decision you made in your career that made you proud?,False,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,False,,#FFE066,1,2025-10-07 16:30:29.845401
9,1,1_9,9,"If you could go back and study something different, what would it be?",False,1,4,Ask 1 Question at Dinner: That Can Change the Way You See Your Parents — and the Way They See You.,False,,#FFE066,1,2025-10-07 16:30:29.875514
10,2,2_1,1,"“Status: undefined, but not unloved.” Not all love lives are loud. Some are still forming, healing, daydreaming, or blooming when no one’s watching. What’s yours trying to say right now?  If your love life had a status update, what would it say?",False,1,1,Imagining Love,False,,#D6C7E7,1,2025-10-07 16:30:29.905087
11,2,2_2,2,What do you imagine when you think about your first love?,True,10,1,Imagining Love,False,,#98FB98,1,2025-10-07 16:30:29.936323
12,2,2_3,3,What kind of love do you believe in?,False,1,1,Imagining Love,False,,#FFAD84,1,2025-10-07 16:30:29.965292
13,2,2_4,4,Real safety isn’t just about avoiding harm—it’s about feeling free to be yourself. You deserve people who don’t just like you—but protect your peace. What makes you feel safe with someone?,True,10,1,Imagining Love,False,,#ADD8E6,1,2025-10-07 16:30:29.996037
14,2,2_5,5,What do you wish someone you like understood about you?,True,10,1,Imagining Love,False,,#D6C7E7,1,2025-10-07 16:30:30.025180
15,2,2_6,6,Which line from a rom-com would you want someone to say to you?,True,10,1,Imagining Love,False,,#F08080,1,2025-10-07 16:30:30.056538
16,2,2_7,7,Real love isn’t about perfect. It’s about the little weird things that make someone feel weirdly right. What’s your crush ick you secretly find cute?,True,10,1,Imagining Love,False,,#ADD8E6,1,2025-10-07 16:30:30.085306
17,2,2_8,8,Which meet-cute(s) would you totally fall for? (Pick all that make your heart do the thing 💘),True,10,2,"Do They Like Me? Small Moves, Big Feels 🎵[playlist:Love]",False,,#FFE066,1,2025-10-07 16:30:30.116858
18,2,2_9,9,How do you act when your crush is nearby?,True,10,2,"Do They Like Me? Small Moves, Big Feels 🎵[playlist:Love]",False,,#D6C7E7,1,2025-10-07 16:30:30.146827
19,2,2_10,10,How do you show someone you like them? [playlist:Love],True,10,2,"Do They Like Me? Small Moves, Big Feels 🎵[playlist:Love]",False,,#F08080,1,2025-10-07 16:30:30.178861
20,2,2_11,11,What makes you feel uneasy in a relationship—even if it’s not “bad” on paper? You’re not asking for too much. You’re just done playing chill when you need real.,True,10,3,Kind of a Couple,False,,#D6C7E7,1,2025-10-07 16:30:30.209816
21,2,2_12,12,What makes you feel uneasy in a relationship—even if it’s not “toxic”? Needing peace doesn’t mean you don’t care. It means you know how you stay whole.,True,10,3,Kind of a Couple,False,,#ADD8E6,1,2025-10-07 16:30:30.242088
22,2,2_13,13,What’s one “How do people even get married?” moment you’ve seen or lived?,True,10,3,Kind of a Couple,False,,#98FB98,1,2025-10-07 16:30:30.280212
23,2,2_14,14,"Heartbreak doesn’t follow rules. Whether you cried, created, or just kept going—you showed up for yourself. And that matters. When your crush likes someone else",True,10,4,"Almost, Not Quite",False,,#B0C4DE,1,2025-10-07 16:30:30.310379
24,2,2_15,15,"If someone likes you but you don’t feel the same, what do you do?",True,10,4,"Almost, Not Quite",False,,#F08080,1,2025-10-07 16:30:30.340743
25,2,2_16,16,"If someone told you 'I love you' way too early, what would you do?",True,10,4,"Almost, Not Quite",False,,#ADD8E6,1,2025-10-07 16:30:30.370316
26,2,2_17,17,"Ghosting doesn’t mean you’re unworthy—it means they didn’t know how to show up. You don’t have to carry their silence like it’s your fault.  If someone ghosted you, what would you tell yourself?",True,10,5,Ghost and Goodbye The Sky That Stayed 🎵[playlist:Breakup],False,,#ADD8E6,1,2025-10-07 16:30:30.400692
27,2,2_18,18,Sometimes it’s not the breakup—it’s the after. The silence. The space. The stories you’ll never get to ask. You’re allowed to miss what mattered. [playlist:Breakup]  What hurts most after a breakup?,True,10,5,Ghost and Goodbye The Sky That Stayed 🎵[playlist:Breakup],False,,#ADD8E6,1,2025-10-07 16:30:30.430934
28,2,2_19,19,Breakups don’t always end at goodbye. Sometimes the hardest part is what comes after—the part you watch from afar. However you react—it’s okay. You’re still healing. What do you do when your ex starts dating someone new?,True,10,5,Ghost and Goodbye The Sky That Stayed 🎵[playlist:Breakup],False,,#ADD8E6,1,2025-10-07 16:30:30.461034
29,2,2_20,20,How do you act around someone who broke your heart?,True,10,5,Ghost and Goodbye The Sky That Stayed 🎵[playlist:Breakup],False,,#ADD8E6,1,2025-10-07 16:30:30.491149
